Record Number,Amount Requested,Interest Rate Percentage,Loan Length in Months,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio Percentage,FICO Range,Status
1795,26400,20.99,60,Credit Card Loan,credit_card,714.07,26400,20.66,690-694,0
1796,7500,11.78,36,Purchased a house at looking to improve,home_improvement,248.32,7500,17.72,690-694,1
1797,5000,11.97,36,personal loan,other,166,5000,20.68,690-694,1
1798,6000,12.42,36,Debt Consolidation Loan,debt_consolidation,200.5,6000,23.1,675-679,1
1799,6475,6.99,36,Debt Consolidation,debt_consolidation,199.9,6475,5.77,755-759,0
1800,13000,11.86,60,Personal Loan,debt_consolidation,288.26,13000,11.89,715-719,1
1801,8000,11.11,36,Get Out of the Hole,debt_consolidation,262.33,8000,22.83,690-694,0
1802,16250,12.42,36,debt consolidation loan,credit_card,543,16250,15.94,720-724,0
1803,1500,9.32,36,Personal Loan,other,47.93,1500,18.2,720-724,1
1804,5000,15.31,36,Home Improvements,other,174.09,5000,11.72,670-674,0
1805,35000,14.91,60,Home Improvement,home_improvement,831,35000,12.1,750-754,0
1806,3000,12.12,36,Credit card refinancing,credit_card,99.82,3000,14.31,680-684,0
1807,23100,14.74,36,Refinance Credit Card,credit_card,797.8,23100,17.45,695-699,0
1808,3500,11.91,36,Student Loan ,educational,116.1,3500,2.47,675-679,1
1809,12000,11.36,36,consolidate,debt_consolidation,394.94,12000,5.56,720-724,1
1810,20000,13.48,36,Credit cards ,credit_card,678.52,20000,12.89,700-704,0
1811,7000,15.38,36,Refinance my Sears Card,credit_card,243.97,7000,23.54,665-669,1
1812,20000,6.17,36,Consolidate for freedom,debt_consolidation,372.09,12200,8.42,775-779,1
1813,10000,18.49,60,The Loan ,other,256.61,10000,18.42,695-699,0
1814,25000,14.79,60,Consolidate and Lower Monthly Payment,debt_consolidation,403.75,17050,20.62,745-749,0
1815,20000,12.53,36,The Trees,other,669.33,20000,3.65,780-784,1
1816,6000,8.94,36,Personal,credit_card,190.63,6000,2.96,720-724,1
1817,9000,7.88,36,Eric's Debt Consolodation Loan,credit_card,281.53,9000,9.18,765-769,1
1818,12000,7.88,36,Debt Consolidation,debt_consolidation,375.38,12000,7.34,760-764,0
1819,3200,16.82,60,remo0829,debt_consolidation,79.22,3200,16.62,660-664,0
1820,7000,13.61,36,Debt Consolidation,debt_consolidation,237.92,7000,16.48,680-684,1
1821,10000,13.98,60,Moving and Car Financing,other,158.16,6800,16.09,705-709,0
1822,15000,18.54,60,Ed's personal loan,debt_consolidation,385.33,15000,14.54,670-674,0
1823,8500,13.92,36,Consolidate my Debt,debt_consolidation,290.17,8500,16.05,695-699,0
1824,20000,16.29,60,Personal Loan,debt_consolidation,489.45,20000,21.74,710-714,0
1825,7000,13.67,36,Debt Consolodation,debt_consolidation,238.13,7000,10,705-709,1
1826,3500,12.53,36,Personal,debt_consolidation,117.14,3500,23.12,690-694,1
1827,24000,12.92,36,Debt consolidation Loan,debt_consolidation,807.74,24000,15.08,695-699,0
1828,5400,7.66,36,1975 Stingray,car,168.38,5400,12.73,725-729,1
1829,7000,10.59,36,Taking the First Step by Consolidating,debt_consolidation,227.82,7000,8.5,680-684,1
1830,9100,21.48,60,Consolidate and Payoff,debt_consolidation,248.65,9100,19.95,670-674,0
1831,9000,11.49,36,Wedding Loan,wedding,296.75,9000,13.4,680-684,0
1832,7050,12.23,60,Loan,credit_card,157.65,7050,17.4,725-729,0
1833,5000,6.03,36,personal loan,other,152.18,5000,1.8,800-804,1
1834,3500,7.66,60,Car Financing Loan,car,70.4,3500,2.55,765-769,1
1835,13200,6.17,36,410 Main,debt_consolidation,402.59,13200,5.91,790-794,1
1836,30000,18.25,60,freedom,debt_consolidation,765.89,30000,10.03,695-699,1
1837,6000,7.74,36,sam loan for educ,educational,187.32,6000,6.75,765-769,1
1838,5000,15.65,60,Relocate,moving,120.67,5000,2.88,730-734,1
1839,10000,10.38,36,Pre-Insurance Settlement Funding,other,321.22,9900,21.89,725-729,0
1840,12000,15.65,36,Loan for small business purchase.,small_business,419.84,12000,11.94,710-714,0
1841,9000,11.89,36,used car loan,car,50.58,1525,8.12,675-679,0
1842,1400,10.59,36,personal  loan request,other,45.57,1400,14.64,705-709,1
1843,10000,8.38,36,Pay for grad school,educational,315.12,10000,4.2,735-739,1
1844,15200,14.26,36,CC Loan,debt_consolidation,521.45,15200,17.19,700-704,0
1845,25000,12.18,36,Personal Loan,educational,832.5,25000,12.36,735-739,0
1846,24000,11.46,36,Consolidate current debt and BSN,debt_consolidation,467.99,14200,15.83,725-729,1
1847,5500,14.74,36,Refinance credit card down from 29.99,credit_card,189.96,5500,14.35,665-669,1
1848,13000,15.33,36,Pay off credit cards & save for a home!,debt_consolidation,452.77,13000,8.87,675-679,1
1849,6000,10.38,60,Wedding,other,128.61,6000,13.08,755-759,1
1850,2400,13.98,36,Education Loan,other,82.01,2400,14.73,670-674,0
1851,3800,6.03,36,Debt Concolidation,debt_consolidation,115.66,3800,17.47,750-754,1
1852,4500,10.74,36,ONEMAIN REFI,other,146.78,4500,21.7,700-704,1
1853,7000,7.68,36,Septic Tank,home_improvement,218.34,7000,23.21,775-779,0
1854,7500,11.59,36,Single Dad to pay off high interest debt,debt_consolidation,158.5,4800,20.45,705-709,1
1855,15000,13.47,36,Investment Property Improvement,home_improvement,508.84,15000,14.34,710-714,1
1856,4975,10.37,36,Debt Consolidation Loan,debt_consolidation,161.4,4975,23.16,675-679,1
1857,12000,15.99,60,GetFinanceFit,debt_consolidation,291.76,12000,17.48,685-689,1
1858,4000,10.74,36,Debt Repayment,debt_consolidation,130.47,4000,14.72,705-709,1
1859,1200,6.54,36,Auto Repairs,major_purchase,36.81,1200,9.5,735-739,1
1860,8000,15.99,36,CREDIT CARD PAY OFF,credit_card,281.22,8000,9.23,665-669,1
1861,10000,15.05,36,IN NEED OF FINANCING TO CONSOLIDATE DEBT,debt_consolidation,346.92,10000,11.92,665-669,0
1862,5000,18.3,60,Debt Consolidation,debt_consolidation,127.79,5000,12.35,665-669,1
1863,3500,12.18,36,Helen's loan,other,116.55,3500,3.44,705-709,0
1864,20000,10.99,36,Fresh Start!!!!,debt_consolidation,654.71,20000,20.91,730-734,0
1865,12000,15.21,60,Debt Free,debt_consolidation,286.81,12000,6.49,710-714,0
1866,22000,6.54,36,Harley,credit_card,674.68,22000,9.45,760-764,1
1867,6725,10.62,36,champ,other,218.97,6725,12.48,715-719,1
1868,2000,13.99,36,personal,other,68.35,2000,0.51,685-689,0
1869,3000,8,36,Moving apartments,other,94.01,3000,0,735-739,1
1870,8500,8.9,36,harley,car,269.91,8500,26.34,720-724,1
1871,11200,21.74,60,Debt Consolidation,debt_consolidation,307.68,11200,6.3,660-664,0
1872,5975,12.99,36,Debt Consolidation Loan,debt_consolidation,201.3,5975,6.68,675-679,1
1873,25000,11.36,36,Debt Consolidation Loan ,debt_consolidation,822.78,25000,17.15,725-729,0
1874,3000,17.51,60,Loan for apartment deposit for a student,moving,75.39,3000,5.61,670-674,1
1875,24000,14.91,36,debt consolidation,major_purchase,830.92,24000,21.94,685-689,1
1876,13000,16,36,Debt Consolidation,debt_consolidation,457.05,13000,23.89,660-664,1
1877,5850,9.99,36,the pay off,credit_card,188.74,5850,8.86,720-724,1
1878,15250,18.49,36,Debt consolidation,debt_consolidation,555.08,15250,25.88,670-674,0
1879,8000,10.51,36,Jewelry Purchase,major_purchase,260.06,8000,11.19,755-759,0
1880,8000,14.61,36,Posojilo,wedding,275.81,8000,12.59,665-669,0
1881,3000,13.8,60,Major Purchase Loan,major_purchase,69.5,3000,9.18,700-704,0
1882,15000,12.04,36,Loan Needed for Home Improvement,home_improvement,498.51,15000,17.08,680-684,1
1883,16000,17.88,60,Debt Consolidatio/Payoff,debt_consolidation,405.26,16000,23.05,690-694,0
1884,20000,19.22,60,debt_consolidation,debt_consolidation,521.24,20000,13.79,680-684,1
1885,10000,11.66,36,Purchase wood flooring for my home.,home_improvement,330.53,10000,10.74,675-679,0
1886,20000,20.99,60,Consolidation for medical/home expenses ,medical,540.96,20000,18.61,675-679,1
1887,10000,6.92,36,Mike's Loan,home_improvement,308.41,10000,14.75,780-784,1
1888,5000,13.99,60,Debt consolidation,debt_consolidation,116.32,5000,11.29,710-714,0
1889,6400,12.23,60,credit cards,credit_card,143.11,6400,4.74,765-769,0
1890,2800,10,36,moving out,moving,90.35,2800,9.29,710-714,1
1891,11000,5.79,36,Personal Loan,debt_consolidation,333.6,11000,7.36,775-779,1
1892,13750,8.88,36,Debt Consolidation Loan,debt_consolidation,436.48,13750,24.63,715-719,1
1893,18000,8.49,36,Medical Procedure,medical,568.14,18000,24.16,750-754,1
1894,4800,12.21,36,Dental work,medical,159.92,4800,11.94,710-714,1
1895,9000,18.39,36,Debt Consolidation ,debt_consolidation,327.14,9000,18.23,670-674,0
1896,2200,7.88,36,Photo-venture!,small_business,68.82,2200,1.2,770-774,1
1897,9600,11.49,60,fix it up,home_improvement,211.09,9600,0.72,790-794,1
1898,24000,10.99,36,Time to Consolidate!,debt_consolidation,608.86,18600,9.86,715-719,1
1899,17000,12.42,36,Debt Consolidation,debt_consolidation,568.06,17000,17.91,720-724,1
1900,35000,19.74,60,Credit Card Payoff loan,credit_card,922.23,35000,11.02,680-684,0
1901,16400,11.03,36,trigg loan,debt_consolidation,537.15,16400,4.42,710-714,0
1902,7000,6.62,36,Debt Consolidation,debt_consolidation,214.93,7000,4.84,745-749,1
1903,2000,13.23,60,MovingNeed,moving,45.75,2000,1.69,735-739,1
1904,19000,11.12,60,Consolidation Loan,debt_consolidation,414.25,19000,11.3,760-764,0
1905,12000,11.58,36,Working Capital for Brewery,small_business,396.17,12000,10.99,730-734,0
1906,12000,9.91,60,debtfree,debt_consolidation,204.61,9650,17.45,755-759,0
1907,8000,13.92,36,Photography Studio Startup,home_improvement,273.1,8000,20.16,695-699,0
1908,12000,13.11,36,Debt Consolidation,debt_consolidation,404.94,12000,13.55,685-689,1
1909,12250,17.27,36,Medical,medical,438.4,12250,19.57,665-669,1
1910,20000,13.22,36,Get more for your money! Solid payments and good interest rate!,debt_consolidation,676.02,20000,10.44,710-714,1
1911,8400,15.21,36,consolidation,debt_consolidation,292.06,8400,19.86,665-669,0
1912,14400,13.99,60,Debt Consolidation Loan,debt_consolidation,334.99,14400,9.36,720-724,0
1913,7200,9.62,36,Ring,wedding,231.05,7200,4.79,705-709,1
1914,7200,16.32,60,projects,major_purchase,176.32,7200,12.67,705-709,0
1915,4500,6.62,36,Twilight Zone Pinball Machine,major_purchase,138.17,4500,1.54,780-784,1
1916,6000,15.81,36,PERSONAL ,other,210.38,6000,25.02,665-669,0
1917,14000,15.88,36,Smith Loan,home_improvement,491.37,14000,20.67,660-664,1
1918,5875,14.11,36,Student Loan,educational,201.1,5875,0.56,680-684,1
1919,2300,17.58,36,Fixing car,credit_card,82.67,2300,5.93,660-664,1
1920,10300,16.29,36,bye bye debt.. hi new debt..,debt_consolidation,363.6,10300,12.86,670-674,0
1921,14000,8.9,36,Debt Consolidation Loan,debt_consolidation,444.55,14000,12.9,720-724,0
1922,20000,17.49,60,Credit Card Pay-Off Loan,credit_card,502.34,20000,24.64,695-699,1
1923,18000,16.02,60,Debt Consolidation,credit_card,437.92,18000,23.76,685-689,0
1924,5000,6.76,36,counter tops,other,153.85,5000,8.21,800-804,1
1925,2200,12.69,60,Major Purchase Loan,major_purchase,49.71,2200,23.77,710-714,1
1926,24250,14.96,36,Finance Loan,debt_consolidation,840.15,24250,12.19,700-704,1
1927,10000,10.37,36,Freedom,other,324.42,10000,4.19,705-709,0
1928,10000,6.62,36,Down Payment,house,307.04,10000,20.65,795-799,1
1929,17000,12.87,36,P.T. in need of debt consolidation loan,debt_consolidation,571.77,17000,17.22,710-714,1
1930,35000,14.09,60,Pool Loan,home_improvement,816.03,35000,0.84,820-824,1
1931,8100,6.62,36,Medical Expenses not covered by insuranc,medical,248.7,8100,11.03,750-754,0
1932,16000,12.67,36,Excellent Credit History,debt_consolidation,536.57,16000,10.13,675-679,0
1933,8000,11.99,36,erase debt!,debt_consolidation,265.68,8000,24.9,690-694,0
1934,35000,21.97,60,Relocating to North Carolina,moving,966.07,35000,17.05,690-694,0
1935,7675,13.87,36,Pay off a credit card,credit_card,118.55,3475,24.51,685-689,0
1936,12000,18.79,60,Finishing Basement,home_improvement,309.91,12000,7.43,680-684,0
1937,17500,13.85,36,Additional equipment needed to generate more rev.,small_business,596.82,17500,22.18,695-699,0
1938,35000,17.51,60,Arcadia home loan,home_improvement,879.47,35000,13.38,755-759,0
1939,16000,11.99,36,Debt Consolidation Loan,debt_consolidation,531.36,16000,7.17,695-699,0
1940,12000,11.11,36,wedding expenses,wedding,393.5,12000,0.77,730-734,0
1941,8000,13.49,60,Debt Consolidation Loan,debt_consolidation,184.04,8000,16.07,695-699,0
1942,25000,14.18,36,Wedding Exp.,wedding,856.63,25000,22.45,705-709,0
1943,10000,13.72,36,Debt payoff!,debt_consolidation,340.42,10000,6.78,665-669,1
1944,14000,18.25,60,Finally out of debt,debt_consolidation,357.42,14000,18.93,670-674,0
1945,18200,14.26,36,Credit Card Consilidation Loan,debt_consolidation,624.37,18200,15.65,680-684,1
1946,6000,13.92,36,Jay's Debt Consolation,debt_consolidation,204.83,6000,15.64,670-674,1
1947,1925,14.35,36,Pumpkin,debt_consolidation,66.12,1925,16.98,665-669,0
1948,23000,14.84,36,Cyndi's Loan to Payoff Debt,debt_consolidation,795.51,23000,19.29,695-699,0
1949,12000,11.58,36,debt payoffs,debt_consolidation,396.17,12000,13.89,720-724,0
1950,1050,14.72,36,CHARTER PAYMENT,debt_consolidation,36.26,1050,14.77,675-679,1
1951,9500,7.62,36,other,other,296.04,9500,21.18,740-744,1
1952,15000,13.22,36,Debt Consolidation,debt_consolidation,507.01,15000,17.93,695-699,1
1953,8725,12.12,60,Personal,major_purchase,194.62,8725,23.58,745-749,0
1954,12000,7.88,36,better interest rate needed,debt_consolidation,375.37,12000,11.13,760-764,0
1955,1550,15.27,36,moving expenses,other,53.94,1550,8.86,690-694,0
1956,10000,11.89,36,Motorcycle,major_purchase,331.64,10000,11.86,730-734,1
1957,5500,13.43,60,alexia,credit_card,126.36,5500,22.48,695-699,0
1958,6000,12.41,36,Looking for Car Financing.,car,200.47,6000,12.68,705-709,0
1959,15250,8.88,60,major purchase,major_purchase,258.24,12475,11.65,745-749,0
1960,10000,11.99,36,Debt Consolidation with a Proven History,debt_consolidation,332.1,10000,17.62,700-704,1
1961,1500,12.73,36,Personal Loan,other,50.35,1500,8.25,680-684,1
1962,25000,17.51,60,Stinky's,major_purchase,628.2,25000,21.63,695-699,1
1963,3800,7.29,36,T's highpercentconsolidation,debt_consolidation,117.84,3800,17.18,730-734,0
1964,5000,6.03,36,Credit Card Loan for Hard Worker,credit_card,152.18,5000,6.97,780-784,1
1965,3500,10.25,36,Move,other,113.35,3500,9.05,740-744,1
1966,19600,16.82,60,debt consolidation,debt_consolidation,485.22,19600,19.68,675-679,0
1967,10425,9.45,36,Business Needs To Move Forward,other,333.7,10425,6.02,785-789,0
1968,13475,16.49,60,Debt Free Veteran,debt_consolidation,331.21,13475,23.23,690-694,0
1969,10000,17.56,60,To combine my bills,other,251.55,10000,13.04,685-689,0
1970,5050,6.99,36,supllmentary laon,home_improvement,155.91,5050,18.22,735-739,1
1971,7000,11.49,36,Debt consolidation,debt_consolidation,230.8,7000,9.56,680-684,1
1972,1250,13.16,36,to help get things back on track,other,42.22,1250,21.33,665-669,0
1973,8600,14.09,36,Credit Card Payoff,debt_consolidation,294.31,8600,17.48,670-674,1
1974,13250,16.89,36,new me,medical,471.68,13250,18.14,665-669,1
1975,25000,13.23,60,Restaurant loan,small_business,362.51,15850,10.79,735-739,1
1976,4000,13.43,60,my loan,debt_consolidation,91.9,4000,5.35,690-694,0
1977,6400,6.91,36,Consolidate bills,debt_consolidation,197.36,6400,13.39,715-719,0
1978,7125,6.03,36,Debt Consolidation,debt_consolidation,216.86,7125,18.66,760-764,1
1979,9600,15.81,36,Debt Consolidation,debt_consolidation,336.61,9600,10.97,670-674,0
1980,25000,16.4,36,2011 Consolidation,debt_consolidation,883.88,25000,8.19,710-714,0
1981,25000,18.43,36,Looking For New Consolidation,debt_consolidation,909.25,25000,10.04,670-674,0
1982,1700,8.49,36,Honda CX500,debt_consolidation,53.66,1700,11.36,720-724,1
1983,3000,15.62,36,Debt Consolidation,debt_consolidation,104.91,3000,15.89,680-684,1
1984,5000,10.95,36,Distributorship,other,162.76,4975,12.69,760-764,0
1985,16800,6.17,36,Debt Consolidation Loan,debt_consolidation,512.39,16800,18.89,750-754,0
1986,10000,12.53,36,Need help with recent medical bills,medical,334.67,10000,22.56,695-699,0
1987,15000,14.79,36,Get out of debt!,debt_consolidation,518.44,15000,11.07,680-684,1
1988,20000,13.61,60,Kill the Black Card,credit_card,323.51,14025,22.13,715-719,1
1989,12550,20.5,36,Need a boost,debt_consolidation,469.61,12550,11.24,660-664,1
1990,15250,15.2,60,PAY OFF MY DEBT ,debt_consolidation,364.4,15250,19.15,700-704,0
1991,20500,9.25,36,No more credit cards,debt_consolidation,481.94,15100,22.6,720-724,1
1992,10000,9.88,36,Debt consolidation,debt_consolidation,322.11,10000,19.96,725-729,0
1993,4000,12.18,36,Recent Graduate - Debt Consolidation,debt_consolidation,133.2,4000,16.65,695-699,0
1994,7000,12.73,36,Debt Saver,debt_consolidation,234.97,7000,23.36,690-694,1
1995,10000,7.51,36,Credit Card Refinance,credit_card,311.11,10000,10.61,735-739,1
1996,25000,10.99,36,Getting back at Bankers,credit_card,818.35,25000,17.43,725-729,1
1997,14000,10.65,36,Credit Consolidation,credit_card,456.03,14000,15.52,700-704,1
1998,21000,11.99,36,Other Loan,other,697.41,21000,14.35,710-714,0
1999,2000,5.42,36,Stacy's Loan,debt_consolidation,60.32,2000,5.62,775-779,1
2000,9000,14.65,36,Credit Card,credit_card,310.45,9000,11.71,665-669,0
2001,20000,11.58,36,Smart Brabus Cabriolet,car,660.27,20000,6.93,760-764,1
2002,4775,11.14,36,Wamu payoff,credit_card,156.65,4775,6.4,695-699,1
2003,3000,10.62,36,Loan to Payoff Bills,other,97.68,3000,0.78,725-729,0
2004,29100,12.99,36,Small Business Loan,small_business,980.36,29100,16.25,755-759,0
2005,26000,21.28,60,consolidation!!,debt_consolidation,707.49,26000,18.76,715-719,0
2006,2400,14.26,36,hunter & gizmo,debt_consolidation,82.34,2400,19.13,660-664,0
2007,9000,12.73,36,Reestablishing Finance,debt_consolidation,302.1,9000,17.12,690-694,0
2008,8000,11.11,36,Fresh Start,debt_consolidation,262.33,8000,15.18,695-699,1
2009,16000,11.49,60,relief,other,212.73,9675,14.84,740-744,0
2010,6000,11.14,36,money,major_purchase,196.83,6000,1.7,720-724,1
2011,17000,17.99,60,Debt Consolidation,debt_consolidation,431.6,17000,10.24,705-709,0
2012,8000,12.73,36,Miles,moving,268.53,8000,5.11,715-719,0
2013,6000,14.27,36,CHASE Credit Card Payments,credit_card,205.86,6000,7.64,665-669,1
2014,12000,12.98,36,Debt Consolidation Loan,debt_consolidation,404.22,12000,7.76,675-679,0
2015,8000,10.99,36,Consolidate,credit_card,261.88,8000,17.37,695-699,1
2016,15000,15.23,60,help with debt,debt_consolidation,358.67,15000,11.84,705-709,0
2017,3500,14.65,36,Pay Off,debt_consolidation,120.73,3500,18.38,680-684,1
2018,2100,14.65,36,Consolidation,debt_consolidation,72.44,2100,4.06,670-674,0
2019,5200,10.74,36,debit consolidation,debt_consolidation,169.61,5200,4.28,705-709,1
2020,12800,15.21,36,help me to be able to buy a home,credit_card,445.04,12800,21.49,670-674,0
2021,12000,18.3,60,Home Loan,house,306.69,12000,4.82,660-664,0
2022,22400,10.36,60,Joe's Loan,home_improvement,314.95,14700,18.7,735-739,1
2023,8000,9.38,36,My money pit,home_improvement,255.82,8000,14.84,780-784,1
2024,10000,12.18,36,Help me pay off my debt with less interest.,debt_consolidation,333,10000,16.14,705-709,1
2025,9600,12.18,36,Debt consolidation,debt_consolidation,319.68,9600,3.84,750-754,1
2026,10000,10.36,36,Paying off my credit cards/ New A/C ,debt_consolidation,324.37,10000,13.64,690-694,1
2027,35000,20.3,60,Personal,debt_consolidation,933.14,35000,15.29,685-689,0
2028,11600,15.05,36,Consolidate high interest loans,credit_card,402.42,11600,16.79,680-684,0
2029,6000,13.36,36,Buying Condo need downpayment/closing $,house,203.21,6000,16.24,660-664,1
2030,17000,12.18,36,Fixed term and rate loan requested,debt_consolidation,566.1,17000,15.8,715-719,0
2031,6000,11.83,36,Would like to consolidate my debt/bills,debt_consolidation,198.81,6000,15.94,715-719,1
2032,7500,11.14,36,Helping Little Sister Through Cancer Treatment,debt_consolidation,246.03,7500,19.79,730-734,1
2033,10400,17.58,60,opening new busines,small_business,261.73,10400,8.93,725-729,0
2034,10000,10.65,60,Personal,other,215.69,10000,2.75,785-789,0
2035,3000,8.49,36,major purchased,major_purchase,94.69,3000,0.81,755-759,1
2036,5600,8.94,36,Human consolidation,debt_consolidation,177.93,5600,21.54,745-749,1
2037,15000,15.65,36,Paying Off Old Startup Credit Card Debt,credit_card,524.77,15000,4.23,730-734,1
2038,18000,12.18,36,Consolidation,debt_consolidation,599.4,18000,20.24,715-719,0
2039,8000,5.99,36,CC Payoff Loan,credit_card,243.34,8000,8.94,785-789,1
2040,17000,14.91,60,Home Appliances,small_business,403.63,17000,18.95,705-709,0
2041,30000,14.65,36,LOC/Debt Consolidation,debt_consolidation,1034.83,30000,20.13,720-724,1
2042,18000,11.86,60,Personal loan,debt_consolidation,341.48,15400,24.72,730-734,1
2043,12000,13.16,36,Debt Consolidation,debt_consolidation,405.25,12000,18.22,695-699,0
2044,2550,11.86,36,Home improvement,home_improvement,84.53,2550,12.65,680-684,1
2045,5000,12.12,36,Debt Free,debt_consolidation,166.36,5000,10.75,700-704,1
2046,6000,9.99,36,BofA Credit Cards,credit_card,193.58,6000,19.48,690-694,1
2047,35000,13.49,60,Pool Loan,major_purchase,805.17,35000,6.22,780-784,1
2048,12000,13.3,36,Debt Consolidation,debt_consolidation,406.07,12000,7.16,660-664,0
2049,18725,20.99,60,Debt Consolidation,debt_consolidation,506.47,18725,8.67,665-669,0
2050,14500,8.94,36,Lower Interest,debt_consolidation,460.69,14500,10.96,775-779,1
2051,15000,16.29,36,Short-Term Business Loan,small_business,529.51,15000,21.99,670-674,0
2052,16000,12.18,36,Vaporizing My Debt!,debt_consolidation,532.8,16000,19.77,715-719,1
2053,11000,13.98,36,consolidate,debt_consolidation,375.85,11000,8.93,705-709,0
2054,35000,21.28,60,new home,debt_consolidation,952.39,35000,23.73,705-709,1
2055,25000,11.49,60,Bucky,debt_consolidation,549.69,25000,22.25,780-784,0
2056,10000,9.63,36,purchase loan,major_purchase,320.94,10000,22.24,715-719,1
2057,9250,14.22,36,Consolidate,debt_consolidation,317.13,9250,10.81,695-699,0
2058,2500,13.98,36,Personal,vacation,85.42,2500,22.64,675-679,1
2059,10000,16.69,60,Hospital Bills,other,246.87,10000,19.54,660-664,0
2060,21600,22.85,60,Consol-Gen,debt_consolidation,607.06,21600,18.79,660-664,0
2061,3500,7.74,36,Forced to Sell Home for Less Than We Owe,moving,109.27,3500,5.73,765-769,1
2062,4000,7.88,60,july loan,debt_consolidation,80.88,4000,13.86,750-754,0
2063,7200,6.92,36,Last Loan,credit_card,222.06,7200,11.72,780-784,1
2064,5500,7.51,36,Discovery,car,171.11,5500,9.1,740-744,1
2065,2500,11.14,36,bill consolidation,debt_consolidation,82.01,2500,18.09,710-714,0
2066,19000,16.77,36,Debt Consolidation for New Home,debt_consolidation,675.23,19000,12.12,675-679,1
2067,4000,12.53,36,fix me,home_improvement,133.87,4000,1.34,740-744,0
2068,3000,13.57,36,Temporary Bailout,debt_consolidation,101.91,3000,5.69,670-674,1
2069,8525,10.78,36,TaxRelief,debt_consolidation,278.22,8525,18.58,700-704,0
2070,13000,9.99,36,pay off bills,debt_consolidation,419.42,13000,18.3,720-724,0
2071,8000,12.87,36,Better job = better life!,debt_consolidation,269.07,8000,5.3,690-694,1
2072,6000,5.79,36,Moving Loan,moving,181.97,6000,18.84,780-784,0
2073,8000,13.85,36,Willow,other,272.84,8000,15.73,680-684,1
2074,10000,8.59,36,Paying Off a Loan in 3 years vs. 10,debt_consolidation,316.11,10000,3.78,765-769,1
2075,7500,5.42,36,Debt Consolidation,debt_consolidation,226.2,7500,5.54,755-759,1
2076,19400,16.07,36,Debt Consolidation,debt_consolidation,682.77,19400,7.25,675-679,1
2077,10000,11.14,36,Consolidate Credit Cards,debt_consolidation,328.04,10000,12.92,725-729,0
2078,10000,13.11,36,Cashfornow,other,337.47,10000,17.22,710-714,0
2079,5000,12.12,60,bill payment help,other,111.53,5000,10.5,710-714,1
2080,14075,11.48,36,debt consolidation,debt_consolidation,464.04,14075,16.33,725-729,0
2081,25000,11.89,36,Debt consolidation for on-time payer,debt_consolidation,829.1,25000,19.48,735-739,1
2082,18000,8.49,36,Debt Consolidation Loan,debt_consolidation,568.14,18000,12.63,730-734,1
2083,15000,9.76,36,Home Down Payment,house,482.32,15000,11.35,735-739,0
2084,16000,14.54,36,debt consolidation loan,debt_consolidation,551.05,16000,12.99,680-684,0
2085,7500,15.37,36,Personal Debt Restructure,debt_consolidation,261.35,7500,7.09,665-669,1
2086,24000,16.32,60,Debt Consolidation,debt_consolidation,378.35,15450,13.3,705-709,1
2087,35000,20.99,60,personal debt consolidation loan,debt_consolidation,671.47,24825,18.93,680-684,0
2088,2500,11.89,36,Education Loan,educational,82.91,2500,19.18,695-699,1
2089,3025,10.28,36,Wedding Expenses / Debt Consolidation,wedding,98.01,3025,9.13,695-699,1
2090,14000,18.99,60,Credit Cards Re-financing,credit_card,363.1,14000,14.68,670-674,1
2091,35000,12.69,36,Other,debt_consolidation,1174.07,35000,0.13,800-804,1
2092,7925,10.59,36,Debt Consolidation Loan,debt_consolidation,257.92,7925,15.52,705-709,0
2093,5000,10.74,36,Debt Consolidation,debt_consolidation,163.08,5000,15.69,675-679,0
2094,25000,11.03,36,Organizing many payments after divorce,debt_consolidation,818.83,25000,9.38,720-724,1
2095,13000,11.83,36,Need to consolidate to payback,debt_consolidation,430.75,13000,16.25,770-774,1
2096,3500,10.65,36,Small Business Loan,small_business,114.01,3500,12.4,700-704,1
2097,15500,13.67,36,credit card debt,credit_card,527.28,15500,19.81,715-719,0
2098,4500,6.62,36,4 Wheeler,major_purchase,138.17,4500,8,765-769,1
2099,2000,11.89,36,Student Loan,educational,66.33,2000,1.27,700-704,0
2100,4000,11.49,36,auto,other,131.89,4000,14.56,715-719,1
2101,6800,16.49,60,OUT FROM UNDER,debt_consolidation,167.14,6800,23.28,710-714,0
2102,3000,11.11,36,pay off,medical,98.38,3000,23.94,675-679,0
2103,15000,13.57,36,Consolitade debt,credit_card,509.53,15000,0.81,750-754,0
2104,15000,17.49,60,Four Winns 268 Vista Boat,major_purchase,376.76,15000,14.17,695-699,0
2105,7800,10.65,36,LC Loan,debt_consolidation,254.08,7800,7.15,720-724,1
2106,16500,15.21,60,Relief,credit_card,342.97,14350,20.49,705-709,0
2107,6800,11.22,36,pay off credit cards,debt_consolidation,223.34,6800,18.68,680-684,0
2108,12000,10.2,36,Credit Card Consolidation,credit_card,388.34,12000,6.88,765-769,0
2109,15000,12.53,36,Plumbing and Heating Project,home_improvement,502,15000,0.13,800-804,1
2110,16000,19.47,36,2010,other,590.35,16000,19.36,665-669,0
2111,2000,13.57,36,My Personal Loan,other,67.94,2000,19.25,705-709,1
2112,24000,20.89,60,loan,debt_consolidation,647.8,24000,4.01,685-689,0
